NSC,LOG_HI_CONCENTRATION
254667,-5.0
94739,-5.0
658354,-5.0
658355,-5.0
658356,-5.0
658357,-5.0
658358,-5.0
658359,-5.0
658361,-5.0
658362,-5.0
658363,-5.0
658364,-5.0
647380,-5.0
647379,-5.0
349644,-5.0
688236,-5.0
647383,-5.0
259968,-5.0
658227,-5.0
658228,-5.0
708077,-5.0
789645,-5.0
658230,-5.0
658232,-5.0
658234,-5.0
658235,-5.0
658236,-5.0
658237,-5.0
658238,-5.0
658239,-5.0
789646,-5.0
20256,-5.0
270675,-5.0
647384,-5.0
657994,-5.0
160147,-5.0
657992,-5.0
664146,-5.0
633604,-5.0
164970,-5.0
164981,-5.0
625602,-5.0
625592,-5.0
658524,-5.0
658525,-5.0
713155,-5.0
658526,-5.0
713156,-5.0
713157,-5.0
713158,-5.0
165528,-5.0
164909,-5.0
658527,-5.0
664145,-5.0
664035,-5.0
664032,-5.0
657966,-5.0
645148,-5.0
657993,-5.0
645146,-5.0
635398,-5.0
3905,-5.0
240574,-5.0
664033,-5.0
625603,-5.0
664034,-5.0
630609,-5.0
164876,-5.0
164877,-5.0
630608,-5.0
641157,-5.0
165572,-5.0
658528,-5.0
165604,-5.0
664158,-5.0
658535,-5.0
658536,-5.0
658538,-5.0
791135,-5.0
231986,-5.0
664162,-5.0
664163,-5.0
791136,-5.0
664165,-5.0
664166,-5.0
664167,-5.0
69599,-5.0
664168,-5.0
69601,-5.0
664157,-5.0
664156,-5.0
658534,-5.0
664154,-5.0
658529,-5.0
165682,-5.0
658530,-5.0
658531,-5.0
658532,-5.0
165706,-5.0
664031,-5.0
165707,-5.0
658533,-5.0
664152,-5.0
165717,-5.0
165765,-5.0
165810,-5.0
165839,-5.0
664153,-5.0
713160,-5.0
664030,-5.0
657965,-5.0
657977,-5.0
657980,-5.0
633494,-5.0
643593,-5.0
97886,-5.0
97888,-5.0
162887,-5.0
663993,-5.0
97889,-5.0
657979,-5.0
720065,-5.0
650467,-5.0
657978,-5.0
163062,-5.0
664029,-5.0
664001,-5.0
657976,-5.0
797352,-5.0
163133,-5.0
97885,-5.0
97882,-5.0
657991,-5.0
657990,-5.0
657989,-5.0
85239,-5.0
633413,-5.0
657987,-5.0
657986,-5.0
97879,-5.0
635441,-5.0
162047,-5.0
162062,-5.0
162083,-5.0
162113,-5.0
650573,-5.0
97881,-5.0
657985,-5.0
657984,-5.0
657982,-5.0
657975,-5.0
634627,-5.0
657970,-5.0
664019,-5.0
664018,-5.0
657969,-5.0
657968,-5.0
664022,-5.0
664024,-5.0
664017,-5.0
657967,-5.0
664016,-5.0
67574,-5.0
657974,-5.0
664015,-5.0
664012,-5.0
664027,-5.0
657971,-5.0
664028,-5.0
664007,-5.0
657972,-5.0
657973,-5.0
664026,-5.0
781492,-4.9547
797913,-4.9547
781491,-4.9547
797907,-4.9547
708248,-4.9208
727680,-4.9031
683778,-4.9031
684582,-4.9031
786058,-4.8447
799980,-4.8447
797945,-4.8447
805124,-4.8447
793325,-4.8447
780459,-4.8447
795960,-4.8447
795961,-4.8447
812715,-4.8447
784533,-4.8447
784532,-4.8447
761582,-4.8447
782854,-4.8239
782856,-4.8239
810063,-4.8239
782855,-4.8239
810071,-4.8239
784022,-4.8239
810070,-4.8239
784021,-4.7825
780458,-4.7825
784013,-4.7825
780454,-4.7825
784020,-4.7825
791456,-4.7773
800931,-4.7773
800930,-4.7773
797905,-4.7773
797906,-4.7773
821593,-4.7773
800928,-4.7773
794095,-4.7773
821594,-4.7773
800932,-4.7773
797908,-4.7773
783218,-4.7773
798795,-4.7773
791460,-4.7773
797909,-4.7773
784531,-4.7773
793131,-4.7773
795959,-4.7773
812590,-4.7773
812585,-4.7773
789237,-4.7773
812580,-4.7773
790976,-4.7773
795957,-4.7773
790671,-4.7773
797959,-4.7773
790670,-4.7773
790669,-4.7773
810107,-4.7773
786054,-4.7773
790672,-4.7773
797537,-4.7773
795962,-4.7773
790138,-4.7773
786056,-4.7773
797944,-4.7773
790974,-4.7773
750210,-4.7747
783300,-4.7747
751494,-4.757
782857,-4.757
783925,-4.757
685686,-4.699
685676,-4.699
648114,-4.699
722134,-4.699
751486,-4.699
812734,-4.699
648265,-4.6882
797954,-4.6021
748433,-4.6021
790429,-4.6021
748431,-4.6021
748432,-4.6021
781623,-4.6021
797955,-4.6021
752808,-4.6021
797958,-4.6021
797961,-4.6021
788725,-4.6021
790900,-4.6021
790130,-4.6021
684386,-4.6021
790133,-4.6021
790430,-4.6021
790431,-4.6021
790139,-4.6021
790134,-4.6021
798780,-4.6021
789766,-4.6021
58514,-4.6021
